time_s,dac_v,adc_v
55.0,-0.0,0.0
55.2,-0.0012533,-0.0001982
55.4,-0.0024869,-0.0015519
55.6,-0.0036812,-0.0024468
55.8,-0.0048175,-0.0023074
56.0,-0.0058779,-0.0029389
56.2,-0.0068455,-0.0042174
56.4,-0.0077051,-0.0043622
56.6,-0.0084433,-0.0041448
56.8,-0.0090483,-0.0050392
57.0,-0.0095106,-0.0057063
57.2,-0.0098229,-0.0051617
57.4,-0.0099803,-0.0051039
57.6,-0.0099803,-0.0058744
57.8,-0.0098229,-0.0056435
58.0,-0.0095106,-0.0047553
58.2,-0.0090483,-0.0049139
58.4,-0.0084433,-0.0051428
58.6,-0.0077051,-0.0041135
58.8,-0.0068455,-0.0033126
59.0,-0.0058779,-0.0035267
59.2,-0.0048175,-0.0029919
59.4,-0.0036812,-0.0016025
59.6,-0.0024869,-0.0011837
59.8,-0.0012533,-0.0011805
60.0,0.0,0.0
60.2,0.0012533,0.0011805
60.4,0.0024869,0.0011837
60.6,0.0036812,0.0016025
60.8,0.0048175,0.0029919
61.0,0.0058779,0.0035267
61.2,0.0068455,0.0033126
61.4,0.0077051,0.0041135
61.6,0.0084433,0.0051428
61.8,0.0090483,0.0049139
62.0,0.0095106,0.0047553
62.2,0.0098229,0.0056435
62.4,0.0099803,0.0058744
62.6,0.0099803,0.0051039
62.8,0.0098229,0.0051617
63.0,0.0095106,0.0057063
63.2,0.0090483,0.0050392
63.4,0.0084433,0.0041448
63.6,0.0077051,0.0043622
63.8,0.0068455,0.0042174
64.0,0.0058779,0.0029389
64.2,0.0048175,0.0023074
64.4,0.0036812,0.0024468
64.6,0.0024869,0.0015519
64.8,0.0012533,0.0001982
65.0,-0.0,0.0
65.2,-0.0012533,-0.0001982
65.4,-0.0024869,-0.0015519
65.6,-0.0036812,-0.0024468
65.8,-0.0048175,-0.0023074
66.0,-0.0058779,-0.0029389
66.2,-0.0068455,-0.0042174
66.4,-0.0077051,-0.0043622
66.6,-0.0084433,-0.0041448
66.8,-0.0090483,-0.0050392
67.0,-0.0095106,-0.0057063
67.2,-0.0098229,-0.0051617
67.4,-0.0099803,-0.0051039
67.6,-0.0099803,-0.0058744
67.8,-0.0098229,-0.0056435
68.0,-0.0095106,-0.0047553
68.2,-0.0090483,-0.0049139
68.4,-0.0084433,-0.0051428
68.6,-0.0077051,-0.0041135
68.8,-0.0068455,-0.0033126
69.0,-0.0058779,-0.0035267
69.2,-0.0048175,-0.0029919
69.4,-0.0036812,-0.0016025
69.6,-0.0024869,-0.0011837
69.8,-0.0012533,-0.0011805
70.0,0.0,0.0
70.2,0.0012533,0.0011805
70.4,0.0024869,0.0011837
70.6,0.0036812,0.0016025
70.8,0.0048175,0.0029919
71.0,0.0058779,0.0035267
71.2,0.0068455,0.0033126
71.4,0.0077051,0.0041135
71.6,0.0084433,0.0051428
71.8,0.0090483,0.0049139
72.0,0.0095106,0.0047553
72.2,0.0098229,0.0056435
72.4,0.0099803,0.0058744
72.6,0.0099803,0.0051039
72.8,0.0098229,0.0051617
73.0,0.0095106,0.0057063
73.2,0.0090483,0.0050392
73.4,0.0084433,0.0041448
73.6,0.0077051,0.0043622
73.8,0.0068455,0.0042174
74.0,0.0058779,0.0029389
74.2,0.0048175,0.0023074
74.4,0.0036812,0.0024468
74.6,0.0024869,0.0015519
74.8,0.0012533,0.0001982
75.0,-0.0,0.0
75.2,-0.0012533,-0.0001982
75.4,-0.0024869,-0.0015519
75.6,-0.0036812,-0.0024468
75.8,-0.0048175,-0.0023074
76.0,-0.0058779,-0.0029389
76.2,-0.0068455,-0.0042174
76.4,-0.0077051,-0.0043622
76.6,-0.0084433,-0.0041448
76.8,-0.0090483,-0.0050392
77.0,-0.0095106,-0.0057063
77.2,-0.0098229,-0.0051617
77.4,-0.0099803,-0.0051039
77.6,-0.0099803,-0.0058744
77.8,-0.0098229,-0.0056435
78.0,-0.0095106,-0.0047553
78.2,-0.0090483,-0.0049139
78.4,-0.0084433,-0.0051428
78.6,-0.0077051,-0.0041135
78.8,-0.0068455,-0.0033126
79.0,-0.0058779,-0.0035267
79.2,-0.0048175,-0.0029919
79.4,-0.0036812,-0.0016025
79.6,-0.0024869,-0.0011837
79.8,-0.0012533,-0.0011805
80.0,0.0,0.0
80.2,0.0012533,0.0011805
80.4,0.0024869,0.0011837
80.6,0.0036812,0.0016025
80.8,0.0048175,0.0029919
81.0,0.0058779,0.0035267
81.2,0.0068455,0.0033126
81.4,0.0077051,0.0041135
81.6,0.0084433,0.0051428
81.8,0.0090483,0.0049139
82.0,0.0095106,0.0047553
82.2,0.0098229,0.0056435
82.4,0.0099803,0.0058744
82.6,0.0099803,0.0051039
82.8,0.0098229,0.0051617
83.0,0.0095106,0.0057063
83.2,0.0090483,0.0050392
83.4,0.0084433,0.0041448
83.6,0.0077051,0.0043622
83.8,0.0068455,0.0042174
84.0,0.0058779,0.0029389
84.2,0.0048175,0.0023074
84.4,0.0036812,0.0024468
84.6,0.0024869,0.0015519
84.8,0.0012533,0.0001982
85.0,-0.0,0.0
85.2,-0.0012533,-0.0001982
85.4,-0.0024869,-0.0015519
85.6,-0.0036812,-0.0024468
85.8,-0.0048175,-0.0023074
86.0,-0.0058779,-0.0029389
86.2,-0.0068455,-0.0042174
86.4,-0.0077051,-0.0043622
86.6,-0.0084433,-0.0041448
86.8,-0.0090483,-0.0050392
87.0,-0.0095106,-0.0057063
87.2,-0.0098229,-0.0051617
87.4,-0.0099803,-0.0051039
87.6,-0.0099803,-0.0058744
87.8,-0.0098229,-0.0056435
88.0,-0.0095106,-0.0047553
88.2,-0.0090483,-0.0049139
88.4,-0.0084433,-0.0051428
88.6,-0.0077051,-0.0041135
88.8,-0.0068455,-0.0033126
89.0,-0.0058779,-0.0035267
89.2,-0.0048175,-0.0029919
89.4,-0.0036812,-0.0016025
89.6,-0.0024869,-0.0011837
89.8,-0.0012533,-0.0011805
90.0,0.0,0.0
90.2,0.0012533,0.0011805
90.4,0.0024869,0.0011837
90.6,0.0036812,0.0016025
90.8,0.0048175,0.0029919
91.0,0.0058779,0.0035267
91.2,0.0068455,0.0033126
91.4,0.0077051,0.0041135
91.6,0.0084433,0.0051428
91.8,0.0090483,0.0049139
92.0,0.0095106,0.0047553
92.2,0.0098229,0.0056435
92.4,0.0099803,0.0058744
92.6,0.0099803,0.0051039
92.8,0.0098229,0.0051617
93.0,0.0095106,0.0057063
93.2,0.0090483,0.0050392
93.4,0.0084433,0.0041448
93.6,0.0077051,0.0043622
93.8,0.0068455,0.0042174
94.0,0.0058779,0.0029389
94.2,0.0048175,0.0023074
94.4,0.0036812,0.0024468
94.6,0.0024869,0.0015519
94.8,0.0012533,0.0001982
95.0,-0.0,0.0
95.2,-0.0012533,-0.0001982
95.4,-0.0024869,-0.0015519
95.6,-0.0036812,-0.0024468
95.8,-0.0048175,-0.0023074
96.0,-0.0058779,-0.0029389
96.2,-0.0068455,-0.0042174
96.4,-0.0077051,-0.0043622
96.6,-0.0084433,-0.0041448
96.8,-0.0090483,-0.0050392
97.0,-0.0095106,-0.0057063
97.2,-0.0098229,-0.0051617
97.4,-0.0099803,-0.0051039
97.6,-0.0099803,-0.0058744
97.8,-0.0098229,-0.0056435
98.0,-0.0095106,-0.0047553
98.2,-0.0090483,-0.0049139
98.4,-0.0084433,-0.0051428
98.6,-0.0077051,-0.0041135
98.8,-0.0068455,-0.0033126
99.0,-0.0058779,-0.0035267
99.2,-0.0048175,-0.0029919
99.4,-0.0036812,-0.0016025
99.6,-0.0024869,-0.0011837
99.8,-0.0012533,-0.0011805
100.0,0.0,0.0
100.2,0.0012533,0.0011805
100.4,0.0024869,0.0011837
100.6,0.0036812,0.0016025
100.8,0.0048175,0.0029919
101.0,0.0058779,0.0035267
101.2,0.0068455,0.0033126
101.4,0.0077051,0.0041135
101.6,0.0084433,0.0051428
101.8,0.0090483,0.0049139
102.0,0.0095106,0.0047553
102.2,0.0098229,0.0056435
102.4,0.0099803,0.0058744
102.6,0.0099803,0.0051039
102.8,0.0098229,0.0051617
103.0,0.0095106,0.0057063
103.2,0.0090483,0.0050392
103.4,0.0084433,0.0041448
103.6,0.0077051,0.0043622
103.8,0.0068455,0.0042174
104.0,0.0058779,0.0029389
104.2,0.0048175,0.0023074
104.4,0.0036812,0.0024468
104.6,0.0024869,0.0015519
104.8,0.0012533,0.0001982
105.0,-0.0,0.0
105.2,-0.0012533,-0.0001982
105.4,-0.0024869,-0.0015519
105.6,-0.0036812,-0.0024468
105.8,-0.0048175,-0.0023074
106.0,-0.0058779,-0.0029389
106.2,-0.0068455,-0.0042174
106.4,-0.0077051,-0.0043622
106.6,-0.0084433,-0.0041448
106.8,-0.0090483,-0.0050392
107.0,-0.0095106,-0.0057063
107.2,-0.0098229,-0.0051617
107.4,-0.0099803,-0.0051039
107.6,-0.0099803,-0.0058744
107.8,-0.0098229,-0.0056435
108.0,-0.0095106,-0.0047553
108.2,-0.0090483,-0.0049139
108.4,-0.0084433,-0.0051428
108.6,-0.0077051,-0.0041135
108.8,-0.0068455,-0.0033126
109.0,-0.0058779,-0.0035267
109.2,-0.0048175,-0.0029919
109.4,-0.0036812,-0.0016025
109.6,-0.0024869,-0.0011837
109.8,-0.0012533,-0.0011805
110.0,0.0,0.0
110.2,0.0012533,0.0011805
110.4,0.0024869,0.0011837
110.6,0.0036812,0.0016025
110.8,0.0048175,0.0029919
111.0,0.0058779,0.0035267
111.2,0.0068455,0.0033126
111.4,0.0077051,0.0041135
111.6,0.0084433,0.0051428
111.8,0.0090483,0.0049139
112.0,0.0095106,0.0047553
112.2,0.0098229,0.0056435
112.4,0.0099803,0.0058744
112.6,0.0099803,0.0051039
112.8,0.0098229,0.0051617
113.0,0.0095106,0.0057063
113.2,0.0090483,0.0050392
113.4,0.0084433,0.0041448
113.6,0.0077051,0.0043622
113.8,0.0068455,0.0042174
114.0,0.0058779,0.0029389
114.2,0.0048175,0.0023074
114.4,0.0036812,0.0024468
114.6,0.0024869,0.0015519
114.8,0.0012533,0.0001982
115.0,-0.0,0.0
115.2,-0.0012533,-0.0001982
115.4,-0.0024869,-0.0015519
115.6,-0.0036812,-0.0024468
115.8,-0.0048175,-0.0023074
116.0,-0.0058779,-0.0029389
116.2,-0.0068455,-0.0042174
116.4,-0.0077051,-0.0043622
116.6,-0.0084433,-0.0041448
116.8,-0.0090483,-0.0050392
117.0,-0.0095106,-0.0057063
117.2,-0.0098229,-0.0051617
117.4,-0.0099803,-0.0051039
117.6,-0.0099803,-0.0058744
117.8,-0.0098229,-0.0056435
118.0,-0.0095106,-0.0047553
118.2,-0.0090483,-0.0049139
118.4,-0.0084433,-0.0051428
118.6,-0.0077051,-0.0041135
118.8,-0.0068455,-0.0033126
119.0,-0.0058779,-0.0035267
119.2,-0.0048175,-0.0029919
119.4,-0.0036812,-0.0016025
119.6,-0.0024869,-0.0011837
119.8,-0.0012533,-0.0011805
