time_s,adc_v
34.8,0.0043035
35.0,0.0045
35.2,0.0046965
35.4,0.0044264
35.6,0.0043311
35.8,0.0046369
36.0,0.0046176
36.2,0.004319
36.4,0.0044503
36.6,0.0046996
36.8,0.0044749
37.0,0.0043098
37.2,0.0045964
37.4,0.0046541
37.6,0.0043459
37.8,0.0044036
38.0,0.0046902
38.2,0.0045251
38.4,0.0043004
38.6,0.0045497
38.8,0.004681
39.0,0.0043824
39.2,0.0043631
39.4,0.0046689
39.6,0.0045736
39.8,0.0043035
40.0,0.0045
40.2,0.0046965
40.4,0.0044264
40.6,0.0043311
40.8,0.0046369
41.0,0.0046176
41.2,0.004319
41.4,0.0044503
41.6,0.0046996
41.8,0.0044749
42.0,0.0043098
42.2,0.0045964
42.4,0.0046541
42.6,0.0043459
42.8,0.0044036
43.0,0.0046902
43.2,0.0045251
43.4,0.0043004
43.6,0.0045497
43.8,0.004681
44.0,0.0043824
44.2,0.0043631
44.4,0.0046689
44.6,0.0045736
44.8,0.0043035
45.0,0.0045
45.2,0.0046965
45.4,0.0044264
45.6,0.0043311
45.8,0.0046369
46.0,0.0046176
46.2,0.004319
46.4,0.0044503
46.6,0.0046996
46.8,0.0044749
47.0,0.0043098
47.2,0.0045964
47.4,0.0046541
47.6,0.0043459
47.8,0.0044036
48.0,0.0046902
48.2,0.0045251
48.4,0.0043004
48.6,0.0045497
48.8,0.004681
49.0,0.0043824
49.2,0.0043631
49.4,0.0046689
49.6,0.0045736
49.8,0.0043035
50.0,0.0045
50.2,0.0046965
50.4,0.0044264
50.6,0.0043311
50.8,0.0046369
51.0,0.0046176
51.2,0.004319
51.4,0.0044503
51.6,0.0046996
51.8,0.0044749
52.0,0.0043098
52.2,0.0045964
52.4,0.0046541
52.6,0.0043459
52.8,0.0044036
53.0,0.0046902
53.2,0.0045251
53.4,0.0043004
53.6,0.0045497
53.8,0.004681
54.0,0.0043824
54.2,0.0043631
54.4,0.0046689
54.6,0.0045736
54.8,0.0043035
55.0,0.0045
55.2,0.0046965
55.4,0.0044264
55.6,0.0043311
55.8,0.0046369
56.0,0.0046176
56.2,0.004319
56.4,0.0044503
56.6,0.0046996
56.8,0.0044749
57.0,0.0043098
57.2,0.0045964
57.4,0.0046541
57.6,0.0043459
57.8,0.0044036
58.0,0.0046902
58.2,0.0045251
58.4,0.0043004
58.6,0.0045497
58.8,0.004681
59.0,0.0043824
59.2,0.0043631
59.4,0.0046689
59.6,0.0045736
59.8,0.0043035
60.0,0.0045
60.2,0.0046965
60.4,0.0044264
60.6,0.0043311
60.8,0.0046369
61.0,0.0046176
61.2,0.004319
61.4,0.0044503
61.6,0.0046996
61.8,0.0044749
62.0,0.0043098
62.2,0.0045964
62.4,0.0046541
62.6,0.0043459
62.8,0.0044036
63.0,0.0046902
63.2,0.0045251
63.4,0.0043004
63.6,0.0045497
63.8,0.004681
64.0,0.0043824
64.2,0.0043631
64.4,0.0046689
64.6,0.0045736
64.8,0.0043035
65.0,0.0045
65.2,0.0046965
65.4,0.0044264
65.6,0.0043311
65.8,0.0046369
66.0,0.0046176
66.2,0.004319
66.4,0.0044503
66.6,0.0046996
66.8,0.0044749
67.0,0.0043098
67.2,0.0045964
67.4,0.0046541
67.6,0.0043459
67.8,0.0044036
68.0,0.0046902
68.2,0.0045251
68.4,0.0043004
68.6,0.0045497
68.8,0.004681
69.0,0.0043824
69.2,0.0043631
69.4,0.0046689
69.6,0.0045736
69.8,0.0043035
70.0,0.0045
70.2,0.0046965
70.4,0.0044264
70.6,0.0043311
70.8,0.0046369
71.0,0.0046176
71.2,0.004319
71.4,0.0044503
71.6,0.0046996
71.8,0.0044749
72.0,0.0043098
72.2,0.0045964
72.4,0.0046541
72.6,0.0043459
72.8,0.0044036
73.0,0.0046902
73.2,0.0045251
73.4,0.0043004
73.6,0.0045497
73.8,0.004681
74.0,0.0043824
74.2,0.0043631
74.4,0.0046689
74.6,0.0045736
74.8,0.0043035
75.0,0.0045
75.2,0.0046965
75.4,0.0044264
75.6,0.0043311
75.8,0.0046369
76.0,0.0046176
76.2,0.004319
76.4,0.0044503
76.6,0.0046996
76.8,0.0044749
77.0,0.0043098
77.2,0.0045964
77.4,0.0046541
77.6,0.0043459
77.8,0.0044036
78.0,0.0046902
78.2,0.0045251
78.4,0.0043004
78.6,0.0045497
78.8,0.004681
79.0,0.0043824
79.2,0.0043631
79.4,0.0046689
79.6,0.0045736
79.8,0.0043035
80.0,0.0045
80.2,0.0046965
80.4,0.0044264
80.6,0.0043311
80.8,0.0046369
81.0,0.0046176
81.2,0.004319
81.4,0.0044503
81.6,0.0046996
81.8,0.0044749
82.0,0.0043098
82.2,0.0045964
82.4,0.0046541
82.6,0.0043459
82.8,0.0044036
83.0,0.0046902
83.2,0.0045251
83.4,0.0043004
83.6,0.0045497
83.8,0.004681
84.0,0.0043824
84.2,0.0043631
84.4,0.0046689
84.6,0.0045736
84.8,0.0043035
85.0,0.0045
85.2,0.0046965
85.4,0.0044264
85.6,0.0043311
85.8,0.0046369
86.0,0.0046176
86.2,0.004319
86.4,0.0044503
86.6,0.0046996
86.8,0.0044749
87.0,0.0043098
87.2,0.0045964
87.4,0.0046541
87.6,0.0043459
87.8,0.0044036
88.0,0.0046902
88.2,0.0045251
88.4,0.0043004
88.6,0.0045497
88.8,0.004681
89.0,0.0043824
89.2,0.0043631
89.4,0.0046689
89.6,0.0045736
89.8,0.0043035
90.0,0.0045
90.2,0.0046965
90.4,0.0044264
90.6,0.0043311
90.8,0.0046369
91.0,0.0046176
91.2,0.004319
91.4,0.0044503
91.6,0.0046996
91.8,0.0044749
92.0,0.0043098
92.2,0.0045964
92.4,0.0046541
92.6,0.0043459
92.8,0.0044036
93.0,0.0046902
93.2,0.0045251
93.4,0.0043004
93.6,0.0045497
93.8,0.004681
94.0,0.0043824
94.2,0.0043631
94.4,0.0046689
94.6,0.0045736
94.8,0.0043035
95.0,0.0045
95.2,0.0046965
95.4,0.0044264
95.6,0.0043311
95.8,0.0046369
96.0,0.0046176
96.2,0.004319
96.4,0.0044503
96.6,0.0046996
96.8,0.0044749
97.0,0.0043098
97.2,0.0045964
97.4,0.0046541
97.6,0.0043459
97.8,0.0044036
98.0,0.0046902
98.2,0.0045251
98.4,0.0043004
98.6,0.0045497
98.8,0.004681
99.0,0.0043824
99.2,0.0043631
99.4,0.0046689
99.6,0.0045736
99.8,0.0043035
100.0,0.0045
100.2,0.0046965
100.4,0.0044264
100.6,0.0043311
100.8,0.0046369
101.0,0.0046176
101.2,0.004319
101.4,0.0044503
101.6,0.0046996
101.8,0.0044749
102.0,0.0043098
102.2,0.0045964
102.4,0.0046541
102.6,0.0043459
102.8,0.0044036
103.0,0.0046902
103.2,0.0045251
103.4,0.0043004
103.6,0.0045497
103.8,0.004681
104.0,0.0043824
104.2,0.0043631
104.4,0.0046689
104.6,0.0045736
104.8,0.0043035
105.0,0.0045
105.2,0.0046965
105.4,0.0044264
105.6,0.0043311
105.8,0.0046369
106.0,0.0046176
106.2,0.004319
106.4,0.0044503
106.6,0.0046996
106.8,0.0044749
107.0,0.0043098
107.2,0.0045964
107.4,0.0046541
107.6,0.0043459
107.8,0.0044036
108.0,0.0046902
108.2,0.0045251
108.4,0.0043004
108.6,0.0045497
108.8,0.004681
109.0,0.0043824
109.2,0.0043631
109.4,0.0046689
109.6,0.0045736
109.8,0.0043035
110.0,0.0045
110.2,0.0046965
110.4,0.0044264
110.6,0.0043311
110.8,0.0046369
111.0,0.0046176
111.2,0.004319
111.4,0.0044503
111.6,0.0046996
111.8,0.0044749
112.0,0.0043098
112.2,0.0045964
112.4,0.0046541
112.6,0.0043459
112.8,0.0044036
113.0,0.0046902
113.2,0.0045251
113.4,0.0043004
113.6,0.0045497
113.8,0.004681
114.0,0.0043824
114.2,0.0043631
114.4,0.0046689
114.6,0.0045736
114.8,0.0043035
115.0,0.0045
115.2,0.0046965
115.4,0.0044264
115.6,0.0043311
115.8,0.0046369
116.0,0.0046176
116.2,0.004319
116.4,0.0044503
116.6,0.0046996
116.8,0.0044749
117.0,0.0043098
117.2,0.0045964
117.4,0.0046541
117.6,0.0043459
117.8,0.0044036
118.0,0.0046902
118.2,0.0045251
118.4,0.0043004
118.6,0.0045497
118.8,0.004681
119.0,0.0043824
119.2,0.0043631
119.4,0.0046689
119.6,0.0045736
119.8,0.0043035
