time_s,voltage_v
87.2,-0.0097978
87.4,-0.0101491
87.6,-0.0101491
87.8,-0.0097978
88.0,-0.0093204
88.2,-0.0089114
88.4,-0.0085169
88.6,-0.0079047
88.8,-0.0069418
89.0,-0.0057603
89.2,-0.0046211
89.4,-0.0036315
89.6,-0.002641
89.8,-0.0014343
90.0,0.0
90.2,0.0014343
90.4,0.002641
90.6,0.0036315
90.8,0.0046211
91.0,0.0057603
91.2,0.0069418
91.4,0.0079047
91.6,0.0085169
91.8,0.0089114
92.0,0.0093204
92.2,0.0097978
92.4,0.0101491
92.6,0.0101491
92.8,0.0097978
93.0,0.0093204
93.2,0.0089114
93.4,0.0085169
93.6,0.0079047
93.8,0.0069418
94.0,0.0057603
94.2,0.0046211
94.4,0.0036315
94.6,0.002641
94.8,0.0014343
95.0,-0.0
95.2,-0.0014343
95.4,-0.002641
95.6,-0.0036315
95.8,-0.0046211
96.0,-0.0057603
96.2,-0.0069418
96.4,-0.0079047
96.6,-0.0085169
96.8,-0.0089114
97.0,-0.0093204
97.2,-0.0097978
97.4,-0.0101491
97.6,-0.0101491
97.8,-0.0097978
98.0,-0.0093204
98.2,-0.0089114
98.4,-0.0085169
98.6,-0.0079047
98.8,-0.0069418
99.0,-0.0057603
99.2,-0.0046211
99.4,-0.0036315
99.6,-0.002641
99.8,-0.0014343
100.0,0.0
100.2,0.0014343
100.4,0.002641
100.6,0.0036315
100.8,0.0046211
101.0,0.0057603
101.2,0.0069418
101.4,0.0079047
101.6,0.0085169
101.8,0.0089114
102.0,0.0093204
102.2,0.0097978
102.4,0.0101491
102.6,0.0101491
102.8,0.0097978
103.0,0.0093204
103.2,0.0089114
103.4,0.0085169
103.6,0.0079047
103.8,0.0069418
104.0,0.0057603
104.2,0.0046211
104.4,0.0036315
104.6,0.002641
104.8,0.0014343
105.0,-0.0
105.2,-0.0014343
105.4,-0.002641
105.6,-0.0036315
105.8,-0.0046211
106.0,-0.0057603
106.2,-0.0069418
106.4,-0.0079047
106.6,-0.0085169
106.8,-0.0089114
107.0,-0.0093204
107.2,-0.0097978
107.4,-0.0101491
107.6,-0.0101491
107.8,-0.0097978
108.0,-0.0093204
108.2,-0.0089114
108.4,-0.0085169
108.6,-0.0079047
108.8,-0.0069418
109.0,-0.0057603
109.2,-0.0046211
109.4,-0.0036315
109.6,-0.002641
109.8,-0.0014343
110.0,0.0
110.2,0.0014343
110.4,0.002641
110.6,0.0036315
110.8,0.0046211
111.0,0.0057603
111.2,0.0069418
111.4,0.0079047
111.6,0.0085169
111.8,0.0089114
112.0,0.0093204
112.2,0.0097978
112.4,0.0101491
112.6,0.0101491
112.8,0.0097978
113.0,0.0093204
113.2,0.0089114
113.4,0.0085169
113.6,0.0079047
113.8,0.0069418
114.0,0.0057603
114.2,0.0046211
114.4,0.0036315
114.6,0.002641
114.8,0.0014343
115.0,-0.0
115.2,-0.0014343
115.4,-0.002641
115.6,-0.0036315
115.8,-0.0046211
116.0,-0.0057603
116.2,-0.0069418
116.4,-0.0079047
116.6,-0.0085169
116.8,-0.0089114
117.0,-0.0093204
117.2,-0.0097978
117.4,-0.0101491
117.6,-0.0101491
117.8,-0.0097978
118.0,-0.0093204
118.2,-0.0089114
118.4,-0.0085169
118.6,-0.0079047
118.8,-0.0069418
119.0,-0.0057603
119.2,-0.0046211
119.4,-0.0036315
119.6,-0.002641
119.8,-0.0014343
